row_type,Column1,team_name,country,country_iso,bf_team1,bf_fuzzy1,bf_team2,bf_fuzzy2,bf_team3,bf_fuzzy3,bf_team4,bf_fuzzy4,bf_team5,bf_fuzzy5,bf_team6,bf_fuzzy6,bf_team7,bf_fuzzy7,bf_team8,bf_fuzzy8,bf_team9,bf_fuzzy9,bf_team10,bf_fuzzy10,bf_team11,bf_fuzzy11,bf_team12,bf_fuzzy12,bf_team13,bf_fuzzy13,manual_insertion1stround,manual_insertion2ndround
bf_teamnames,7,Heidenheim,Germany,DE,FC Heidenheim,95,Hilden,75,Weiden,75,SG Meisenheim Des-Jeck,72,Vfv 06 Hildesheim,72,Hoffenheim,70,VfV Hildesheim,67,Pfeddersheim,64,TSG Weinheim,64,Rosenheim,63,FC 1931 Eddersheim,63,SV 07 Geinsheim,63,1899 Hoffenheim II,63,,
names_match,7,Heidenheim,Germany,DE,1,95,0,75,0,75,0,72,0,72,0,70,0,67,0,64,0,64,0,63,0,63,0,63,0,63,,
bf_teamnames,9,Hertha BSC,Germany,DE,Hertha BSC Berlin II,90,Hertha Berlin II,86,CFC Hertha 06 Berlin,86,Hertha Wiesbach,86,FC Hertha Wiesbach,86,FC Hertha 03 Zehlendorf,86,BSC Kickers 1900,86,C Hertha 06,72,Hertha Berlin,71,C FC Hertha 06,71,CFC Hertha 06,71,FC Hurth,64,BSC Hastedt,64,,
names_match,9,Hertha BSC,Germany,DE,0,90,0,86,0,86,0,86,0,86,0,86,0,86,0,72,1,71,0,71,0,71,0,64,0,64,,
bf_teamnames,13,Hoffenheim,Germany,DE,Hoffenheim,100,Hoffenheim II,95,1899 Hoffenheim II,90,Rosenheim,74,TSV 1860 Rosenheim,63,TSV 1881 Gau-Odernheim,63,Offenbacher Kickers,63,Waldhof Mannheim,62,FC Heidenheim,61,SV Gonsenheim,61,FC Monheim,60,Bergheim,56,VfB Ginsheim,55,,
names_match,13,Hoffenheim,Germany,DE,1,100,0,95,0,90,0,74,0,63,0,63,0,63,0,62,0,61,0,61,0,60,0,56,0,55,,
bf_teamnames,6,Holstein Kiel,Germany,DE,Holstein Kiel,100,Holstein Kiel II,95,Kieler SV Holstein II,86,Inter Turksport Kiel,86,Hessen Kassel,62,VfL 05 Hohenstein-Ernstthal,62,Hohenstein-Ernstthal,62,Kilia Kiel,61,SV Halstenbek-Rellingen,56,Halstenbek-Rellingen,56,Northern Ireland,55,Eutin,54,Stoke,54,,
names_match,6,Holstein Kiel,Germany,DE,1,100,0,95,0,86,0,86,0,62,0,62,0,62,0,61,0,56,0,56,0,55,0,54,0,54,,
bf_teamnames,1,Ingolstadt,Germany,DE,Ingolstadt,100,Ingolstadt II,95,FC Ingolstadt II,90,Einheit Rudolstadt,64,Lippstadt,63,FC Einheit Rudolstadt,63,SF Seligenstadt,63,USA,60,Finland,59,England,59,Norderstedt,57,Grolland,56,Aubstadt,56,,
names_match,1,Ingolstadt,Germany,DE,1,100,0,95,0,90,0,64,0,63,0,63,0,63,0,60,0,59,0,59,0,57,0,56,0,56,,
bf_teamnames,13,Jahn Regensburg,Germany,DE,Jahn Regensburg,100,SSV Jahn Regensburg II,95,Jahn Regensburg II,95,Jahn Dinslaken Hiesfeld,86,Augsburg,68,FV Ravensburg,64,FSV Jagersburg,62,Oldenburg,60,Rennes,60,FC Eilenburg,59,Weiche Flensburg,58,Askania Bernburg,58,Erzgebirge,57,,
names_match,13,Jahn Regensburg,Germany,DE,1,100,0,95,0,95,0,86,0,68,0,64,0,62,0,60,0,60,0,59,0,58,0,58,0,57,,
bf_teamnames,11,Kaiserslautern,Germany,DE,Kaiserslautern,100,Kaiserslautern II,95,FC Kaiserslautern II,95,Verl,68,Morlautern,67,SV Morlautern,67,Alfter,60,USA,60,ATSV Erlangen,59,Goslarer,56,SV 1912 Morlautern,56,Budissa Bautzen,55,Eutin,54,,
names_match,11,Kaiserslautern,Germany,DE,1,100,0,95,0,95,0,68,0,67,0,67,0,60,0,60,0,59,0,56,0,56,0,55,0,54,,
bf_teamnames,15,Karlsruher SC,Germany,DE,Karlsruher SC II,95,SC Weiche Flensburg II,86,Brandenburger SC Süd 05,86,SC Westfalia 04 Herne,86,SC 1911 Kapellen-Erft,86,SC Verl,86,Brandenburger SC Sud,86,SC Hardt,86,SC 1911 Kapellen Erft,86,Brandenburger SC Sud 05,86,Wittenauer SC Concordia,86,Karlsruhe,82,Karlsruhe II,80,,
names_match,15,Karlsruher SC,Germany,DE,0,95,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,1,82,0,80,,
bf_teamnames,17,Köln,Germany,DE,FC Koln,60,Luneburg,60,Berliner AK,60,Hertha Berlin II,60,Rot-Weiss Ahlen,60,Viktoria Koln,60,Aalen,60,Viktoria Berlin,60,Union Berlin,60,Weiche Flensburg,60,Fortuna Koln,60,FC Koln II,60,Hertha Berlin,60,,
names_match,17,Köln,Germany,DE,1,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,,
bf_teamnames,4,Magdeburg,Germany,DE,FC Magdeburg,95,Augsburg,71,FSV Jagersburg 1928,70,Brandenburger SC Süd 05,70,FSV Jagersburg,70,Neubrandenburg,70,Brandenburger SC Sud,70,Brandenburger SC Sud 05,70,Oldenburg,67,Hamburg,62,Homburg,62,Jahn Regensburg,60,Augsburg II,60,,
names_match,4,Magdeburg,Germany,DE,1,95,0,71,0,70,0,70,0,70,0,70,0,70,0,70,0,67,0,62,0,62,0,60,0,60,,
bf_teamnames,1,Mainz 05,Germany,DE,Mainz,90,FSV Mainz 05,90,FSV Mainz 05 II,90,TSV Schott Mainz,86,SV 1919 Mainz-G,86,Brandenburger SC Süd 05,86,FC Hennef 05,86,Teutonia 05 Ottensen,86,Brandenburger SC Sud 05,86,VfL 05 Hohenstein-Ernstthal,86,Mainz II,75,Lupo Martini Wolfsburg,56,Ratingen SV Germania 04/19,56,,
names_match,1,Mainz 05,Germany,DE,1,90,1,90,0,90,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,75,0,56,0,56,,
bf_teamnames,0,MSV Duisburg,Germany,DE,FSV Duisburg,92,Duisburg,90,SV Genc Osman Duisburg,86,Augsburg,68,SpVgg Neu-Isenburg,67,SV Merseburg,67,TSV Landsberg,64,FSV Jagersburg,62,Husumer SV,61,TSV Friedrichsberg,60,TSV Landsberg am Lech,60,USA,60,Viborg,60,,
names_match,0,MSV Duisburg,Germany,DE,1,92,1,90,0,86,0,68,0,67,0,67,0,64,0,62,0,61,0,60,0,60,0,60,0,60,,
bf_teamnames,9,Nürnberg,Germany,DE,Nurnberg,93,Nurnberg II,78,VFL Pinneberg,77,Cronenberger SC,77,FC Nurnberg II,77,VfL Pinneberg,77,Rugenbergen,67,SV Lichtenberg 47,64,FC Sturm Hauzenberg,64,Lichtenberg 47,64,FC Ederbergland,64,SGV Freiberg,64,TV Askania Bernburg,64,,
names_match,9,Nürnberg,Germany,DE,1,93,0,78,0,77,0,77,0,77,0,77,0,67,0,64,0,64,0,64,0,64,0,64,0,64,,
bf_teamnames,2,Osnabrück,Germany,DE,Osnabruck,94,VfL Osnabruck II,79,VfL Osnabruck,79,TuS Bersenbruck,68,Saarbrucken,63,Bersenbruck,63,USA,60,Rosenborg,59,Monaco,57,SC Wiedenbruck,56,FSV Erlangen-Bruck,56,SpVg Schonnebeck,56,SpVgg Schonnebeck 1910,56,,1
names_match,2,Osnabrück,Germany,DE,1,94,0,79,1,79,0,68,0,63,0,63,0,60,0,59,0,57,0,56,0,56,0,56,0,56,,
